Sorted ascSorted desc,ID#Sorted ascSorted desc,SubjectSorted ascSorted desc,RemarksSorted ascSorted desc,FromSorted ascSorted desc,Email DateSorted ascSorted desc,Replied BySorted ascSorted desc,Create DateSorted ascSorted desc,SourceSorted ascSorted desc,AssignToSorted ascSorted desc,FollowupSorted ascSorted desc,StatusSorted ascSorted desc,ElapseSorted ascSorted desc,PrioritySorted ascSorted desc
Delete Ticket,100122,Demo 123 - [#CSS-100122],,123demo@yopmail.com,5/8/2021 23:42,System,5-Aug-21,Email,Test004,6-Aug-21,Open,47,High
Delete Ticket,100119,Index Demo - [#CSS-100119],,alohatechnology123@outlook.com,5/8/2021 22:31,System,4-Aug-21,Email,Test004,6-Aug-21,Draft,,
Delete Ticket,100065,Test1 - [#CSS-100065],,alohatechnology55@gmail.com,5/8/2021 21:58,System,29-Jul-21,Email,Liza,30-Jul-21,Draft,,
Delete Ticket,100121,Demo - [#CSS-100121],,alohatechnology123@outlook.com,5/8/2021 19:34,--,5-Aug-21,Email,,,Open,47,
Delete Ticket,100120,Attachment Demo - [#CSS-100120],,alohatechnology123@outlook.com,5/8/2021 19:32,--,5-Aug-21,Email,,,Open,47,
Delete Ticket,100118,Undeliverable: Demo Test - [#CSS-100118],,aalohatechnology123@outlook.com,5/8/2021 18:24,--,4-Aug-21,Email,Test004,5-Aug-21,Followup,47,
Delete Ticket,100119,Re: Index Demo - - [#CSS-100119],,alohatechnology123@outlook.com,5/8/2021 16:22,--,4-Aug-21,Email,Test004,6-Aug-21,Followup,47,
Delete Ticket,100061,Re: Demotest Data - [#CSS-100061],,123demo@yopmail.com,4/8/2021 22:30,--,29-Jul-21,Email,,30-Jul-21,Followup,48,
Delete Ticket,100112,Re: Test Img - [#CSS-100112],,alohatechnology123@outlook.com,4/8/2021 22:19,--,4-Aug-21,Email,Test004,5-Aug-21,Followup,48,
Delete Ticket,100095,Pdf Demo - [#CSS-100095],,123demo@yopmail.com,4/8/2021 21:24,System,4-Aug-21,Email,,5-Aug-21,Draft,,
Delete Ticket,100095,Pdf Demo - [#CSS-100095],,123demo@yopmail.com,4/8/2021 21:24,System,4-Aug-21,Email,,5-Aug-21,Draft,,
Delete Ticket,100086,Test - [#CSS-100086],,manish@prokorp.sg,4/8/2021 21:23,System,3-Aug-21,Email,,4-Aug-21,Draft,,
Delete Ticket,100086,Test - [#CSS-100086],,manish@prokorp.sg,4/8/2021 21:23,System,3-Aug-21,Email,,4-Aug-21,Draft,,
Delete Ticket,100110,Testing - [#css],,abc@gmail.com,4/8/2021 21:06,System,4-Aug-21,Email,Test004,5-Aug-21,Draft,,
Delete Ticket,100107,Demo 1235 - [#CSS-100107],,123demo@yopmail.com,4/8/2021 20:59,System,4-Aug-21,Email,Prokorpmgmt,5-Aug-21,Draft,,
Delete Ticket,100088,Demo - [#CSS-100088],,123demo@yopmail.com,4/8/2021 19:31,System,3-Aug-21,Email,Test004,4-Aug-21,Draft,,
Delete Ticket,100108,Test 04/08-1 - [#CSS-100108],,alohatechnology55@gmail.com,4/8/2021 19:24,--,4-Aug-21,Email,Adminneebal,,Open,48,
Delete Ticket,100105,Demo Attachemnt - [#css] - [#css] - [#css],,demo@yopmail.co,4/8/2021 19:18,System,4-Aug-21,Email,,5-Aug-21,Draft,,
Delete Ticket,100104,Demo Attachemnt - [#css] - [#css],,demo@yopmail.co,4/8/2021 19:18,System,4-Aug-21,Email,,5-Aug-21,Draft,,
Delete Ticket,100103,Demo Attachemnt - [#CSS-100103],,demo@yopmail.co,4/8/2021 19:17,System,4-Aug-21,Email,Prokorpmgmt,5-Aug-21,Open,48,
Delete Ticket,100097,Undeliverable: Demo - [#CSS-100097],,123demo@yopmail.com,4/8/2021 18:16,--,4-Aug-21,Email,,5-Aug-21,Followup,48,
Delete Ticket,100096,Demo - [#css],,123demo@yopmail.com,4/8/2021 18:13,System,4-Aug-21,Email,,5-Aug-21,Draft,,
Delete Ticket,100095,Undeliverable: Pdf Demo - [#CSS-100095],,123demo@yopmail.com,4/8/2021 18:03,--,4-Aug-21,Email,,5-Aug-21,Followup,48,
Delete Ticket,100094,Draft Demo - [#css],,123demo@yopmail,4/8/2021 16:37,System,4-Aug-21,Email,,5-Aug-21,Draft,,
Delete Ticket,100085,Your Daily Briefing - [#CSS-100085],,cortana@microsoft.com,4/8/2021 1:40,System,3-Aug-21,Email,,,Draft,,
Delete Ticket,100093,Demo - [#css],to test remarks,123demo@yopmail.com,4/8/2021 1:38,System,4-Aug-21,Email,Test004,5-Aug-21,Draft,,
Delete Ticket,100093,Demo - [#CSS-100093],to test remarks,123demo@yopmail.com,4/8/2021 1:38,System,4-Aug-21,Email,Test004,5-Aug-21,Open,48,
Delete Ticket,100092,Demo Img - [#css],,123demo@yopmail.com,4/8/2021 0:56,System,4-Aug-21,Email,,5-Aug-21,Draft,,
Delete Ticket,100117,Demo Img - [#CSS-100117],demo 123,123demo@yopmail.com,4/8/2021 0:56,System,4-Aug-21,Email,Aloha,5-Aug-21,Open,48,
Delete Ticket,100091,Demo - [#css],,123demo@yopmail.com,4/8/2021 0:54,System,4-Aug-21,Email,,5-Aug-21,Draft,,
Delete Ticket,100091,Demo - [#CSS-100091],,123demo@yopmail.com,4/8/2021 0:54,System,4-Aug-21,Email,,5-Aug-21,Open,48,
Delete Ticket,100086,Re: Test - [#CSS-100086],,manish@prokorp.sg,3/8/2021 15:22,--,3-Aug-21,Email,,4-Aug-21,Followup,49,
Delete Ticket,100085,Your Daily Briefing - [#CSS-100085],,cortana@microsoft.com,3/8/2021 6:05,--,3-Aug-21,Email,,,Open,49,
Delete Ticket,100084,Your Daily Briefing - [#CSS-100084],,cortana@microsoft.com,2/8/2021 6:10,--,2-Aug-21,Email,,,Open,50,
Delete Ticket,100060,Undeliverable: Test Sale Order - [#CSS-100060],,123demo@opmail.com,31/7/2021 19:28,--,29-Jul-21,Email,Aloha,30-Jul-21,Followup,52,
Delete Ticket,100056,Undeliverable: Test Subject8899 - [#CSS-100056],,test@test.com,31/7/2021 19:02,--,29-Jul-21,Email,Adminneebal,30-Jul-21,Followup,52,Normal
Delete Ticket,100083,Test 30/07 - [#CSS-100083],,alohatechnology55@gmail.com,30/7/2021 23:14,--,30-Jul-21,Email,Aloha,31-Jul-21,Followup,53,
Delete Ticket,100053,Undeliverable: To Test Ticket System - [#CSS-100053],,123demo@yopmail.com,30/7/2021 15:08,--,29-Jul-21,Email,,29-Jul-21,Followup,53,
Delete Ticket,100073,Alohatechnology55 - [#CSS-100073],,alohatechnology55@gmail.com,30/7/2021 0:27,--,30-Jul-21,Email,Aloha,31-Jul-21,Followup,53,
Delete Ticket,100058,Undeliverable: Demo Ticket - [#CSS-100058],,123cdemo1@yopmail.com,29/7/2021 17:10,--,29-Jul-21,Email,,30-Jul-21,Followup,54,
Delete Ticket,100057,Undeliverable: Sale Order - [#CSS-100057],,123cdemo@yopmail.com,29/7/2021 17:02,--,29-Jul-21,Email,,30-Jul-21,Deleted,54,
Delete Ticket,100053,To Test Ticket System - [#CSS-100053],,123demo@yopmail.com,29/7/2021 15:46,System,29-Jul-21,Email,,29-Jul-21,Draft,,
Delete Ticket,100054,Demo Test - [#css],,123cdemo@yopmail.com,29/7/2021 15:31,System,29-Jul-21,Email,,30-Jul-21,Draft,,
Delete Ticket,100043,Re: Test - [#CSS-100043],Why is this still pending?,liza@prokorp.sg,21/5/2021 10:53,--,21-May-21,Email,Adminneebal,22-May-21,Followup,123,High
Delete Ticket,100147,Demo 123 - [#CSS-100147],,123demo@gmail.com,23/9/2021 16:01,System,12-Aug-21,Email,Aloha,13-Aug-21,Open,40,Low
